iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result
0, 1, 225, 2020-07-31T03:58:53+00:00, 12, 13, LOSE
0, 2, 225, 2020-07-31T04:03:40+00:00, 9, 2, WIN
0, 3, 225, 2020-07-31T04:08:28+00:00, 12, 5, WIN
1, 1, 225, 2020-07-31T04:13:16+00:00, 14, 11, WIN
1, 2, 225, 2020-07-31T04:18:04+00:00, 9, 2, WIN
1, 3, 225, 2020-07-31T04:22:51+00:00, 13, 12, WIN
2, 1, 225, 2020-07-31T04:27:39+00:00, 16, 9, WIN
2, 2, 225, 2020-07-31T04:32:27+00:00, 10, 12, LOSE
2, 3, 225, 2020-07-31T04:37:14+00:00, 13, 1, WIN
3, 1, 225, 2020-07-31T04:42:02+00:00, 8, 13, LOSE
3, 2, 225, 2020-07-31T04:46:50+00:00, 9, 2, WIN
3, 3, 225, 2020-07-31T04:51:38+00:00, 10, 0, WIN
4, 1, 225, 2020-07-31T04:56:25+00:00, 13, 3, WIN
4, 2, 225, 2020-07-31T05:01:13+00:00, 9, 2, WIN
4, 3, 225, 2020-07-31T05:06:00+00:00, 10, 0, WIN
5, 1, 225, 2020-07-31T05:10:48+00:00, 17, 10, WIN
5, 2, 225, 2020-07-31T05:15:36+00:00, 14, 2, WIN
5, 3, 225, 2020-07-31T05:20:24+00:00, 10, 0, WIN
6, 1, 225, 2020-07-31T05:25:12+00:00, 11, 10, WIN
6, 2, 225, 2020-07-31T05:29:59+00:00, 9, 2, WIN
6, 3, 225, 2020-07-31T05:34:47+00:00, 11, 13, LOSE
7, 1, 225, 2020-07-31T05:39:35+00:00, 16, 4, WIN
7, 2, 225, 2020-07-31T05:44:23+00:00, 9, 2, WIN
7, 3, 225, 2020-07-31T05:49:11+00:00, 12, 2, WIN
8, 1, 225, 2020-07-31T05:53:59+00:00, 12, 10, WIN
8, 2, 225, 2020-07-31T05:58:46+00:00, 12, 2, WIN
8, 3, 225, 2020-07-31T06:03:34+00:00, 6, 4, WIN
9, 1, 225, 2020-07-31T06:08:22+00:00, 12, 9, WIN
9, 2, 225, 2020-07-31T06:13:10+00:00, 9, 2, WIN
9, 3, 225, 2020-07-31T06:17:58+00:00, 9, 13, LOSE
10, 1, 225, 2020-07-31T06:22:45+00:00, 12, 13, LOSE
10, 2, 225, 2020-07-31T06:27:33+00:00, 9, 2, WIN
10, 3, 225, 2020-07-31T06:32:21+00:00, 10, 0, WIN
11, 1, 225, 2020-07-31T06:37:09+00:00, 16, 4, WIN
11, 2, 225, 2020-07-31T06:41:56+00:00, 15, 6, WIN
11, 3, 225, 2020-07-31T06:46:44+00:00, 13, 1, WIN
12, 1, 225, 2020-07-31T06:51:32+00:00, 14, 4, WIN
12, 2, 225, 2020-07-31T06:56:20+00:00, 10, 1, WIN
12, 3, 225, 2020-07-31T07:01:08+00:00, 2, 13, LOSE
13, 1, 225, 2020-07-31T07:05:56+00:00, 17, 13, WIN
13, 2, 225, 2020-07-31T07:10:45+00:00, 10, 1, WIN
13, 3, 225, 2020-07-31T07:15:33+00:00, 13, 1, WIN
14, 1, 225, 2020-07-31T07:20:22+00:00, 12, 12, LOSE
14, 2, 225, 2020-07-31T07:25:09+00:00, 9, 2, WIN
14, 3, 225, 2020-07-31T07:29:57+00:00, 2, 12, LOSE
15, 1, 225, 2020-07-31T07:34:45+00:00, 20, 9, WIN
15, 2, 225, 2020-07-31T07:39:33+00:00, 9, 2, WIN
15, 3, 225, 2020-07-31T07:44:21+00:00, 8, 13, LOSE
16, 1, 225, 2020-07-31T07:49:09+00:00, 14, 8, WIN
16, 2, 225, 2020-07-31T07:53:57+00:00, 9, 2, WIN
16, 3, 225, 2020-07-31T07:58:45+00:00, 9, 13, LOSE
17, 1, 225, 2020-07-31T08:03:33+00:00, 12, 10, WIN
17, 2, 225, 2020-07-31T08:08:21+00:00, 12, 6, WIN
17, 3, 225, 2020-07-31T08:13:08+00:00, 13, 1, WIN
18, 1, 225, 2020-07-31T08:17:56+00:00, 13, 9, WIN
18, 2, 225, 2020-07-31T08:22:44+00:00, 9, 2, WIN
18, 3, 225, 2020-07-31T08:27:32+00:00, 10, 0, WIN
19, 1, 225, 2020-07-31T08:32:20+00:00, 10, 0, WIN
19, 2, 225, 2020-07-31T08:37:07+00:00, 18, 10, WIN
19, 3, 225, 2020-07-31T08:41:55+00:00, 10, 0, WIN
